TwoStage Config: BETA=0.001, ALPHA=0.5, epochs=150
Loading player data (season 2019-26)...
  170772 rows loaded
  train=136880  val=33892
Loading game outcomes...
Game outcomes loaded: 4,995 games, cols=['gameId', 'home_score', 'away_score', 'home_pace', 'home_poss', 'away_pace', 'away_poss']
  4995 games with outcomes
Building loaders (raw targets)...
  done
  team_dim=256  player_dim=24
--no-resume — starting from epoch 0.
Training two-stage model epochs 0–149
Epoch 088/149 | beta 0.00100 | train recon 0.1367  game_mse 0.0000  kl/dim 0.513 | val recon 0.1572  game_mse nan  kl/dim 0.310
Epoch 089/149 | beta 0.00100 | train recon 0.1381  game_mse 0.0000  kl/dim 0.513 | val recon 0.1570  game_mse nan  kl/dim 0.316
Epoch 090/149 | beta 0.00100 | train recon 0.1385  game_mse 0.0000  kl/dim 0.512 | val recon 0.1577  game_mse nan  kl/dim 0.325
  [diag] P(over|z) std: mean=0.0231  std=0.0120  (target >0.05)
Epoch 091/149 | beta 0.00100 | train recon 0.1358  game_mse 0.0000  kl/dim 0.514 | val recon 0.1574  game_mse nan  kl/dim 0.318
Epoch 092/149 | beta 0.00100 | train recon 0.1366  game_mse 0.0000  kl/dim 0.513 | val recon 0.1569  game_mse nan  kl/dim 0.308
Epoch 093/149 | beta 0.00100 | train recon 0.1376  game_mse 0.0000  kl/dim 0.511 | val recon 0.1562  game_mse nan  kl/dim 0.313
Epoch 094/149 | beta 0.00100 | train recon 0.1375  game_mse 0.0000  kl/dim 0.513 | val recon 0.1575  game_mse nan  kl/dim 0.311
Epoch 095/149 | beta 0.00100 | train recon 0.1354  game_mse 0.0000  kl/dim 0.512 | val recon 0.1594  game_mse nan  kl/dim 0.318
Epoch 096/149 | beta 0.00100 | train recon 0.1374  game_mse 0.0000  kl/dim 0.513 | val recon 0.1592  game_mse nan  kl/dim 0.302
Epoch 097/149 | beta 0.00100 | train recon 0.1365  game_mse 0.0000  kl/dim 0.511 | val recon 0.1583  game_mse nan  kl/dim 0.321
Epoch 098/149 | beta 0.00100 | train recon 0.1374  game_mse 0.0000  kl/dim 0.513 | val recon 0.1584  game_mse nan  kl/dim 0.311
Epoch 099/149 | beta 0.00100 | train recon 0.1369  game_mse 0.0000  kl/dim 0.512 | val recon 0.1582  game_mse nan  kl/dim 0.325
Epoch 100/149 | beta 0.00100 | train recon 0.1397  game_mse 0.0000  kl/dim 0.514 | val recon 0.1577  game_mse nan  kl/dim 0.322
  [diag] P(over|z) std: mean=0.0235  std=0.0124  (target >0.05)
Epoch 101/149 | beta 0.00100 | train recon 0.1371  game_mse 0.0000  kl/dim 0.512 | val recon 0.1579  game_mse nan  kl/dim 0.294
Epoch 102/149 | beta 0.00100 | train recon 0.1365  game_mse 0.0000  kl/dim 0.511 | val recon 0.1581  game_mse nan  kl/dim 0.315
Epoch 103/149 | beta 0.00100 | train recon 0.1367  game_mse 0.0000  kl/dim 0.513 | val recon 0.1583  game_mse nan  kl/dim 0.303
Epoch 104/149 | beta 0.00100 | train recon 0.1354  game_mse 0.0000  kl/dim 0.513 | val recon 0.1580  game_mse nan  kl/dim 0.307
Epoch 105/149 | beta 0.00100 | train recon 0.1343  game_mse 0.0000  kl/dim 0.512 | val recon 0.1579  game_mse nan  kl/dim 0.326
Epoch 106/149 | beta 0.00100 | train recon 0.1349  game_mse 0.0000  kl/dim 0.513 | val recon 0.1580  game_mse nan  kl/dim 0.331
Epoch 107/149 | beta 0.00100 | train recon 0.1359  game_mse 0.0000  kl/dim 0.514 | val recon 0.1587  game_mse nan  kl/dim 0.301
